Tempo (s),Corrente i(t) [A],Tensão R [V],Tensão L [V],Tensão C [V]
0.0016016016016016017,1.1511040340838333e-05,0.0011511040340838332,0.006793747724464762,6.374191082028055e-05
0.0016116116116116116,1.16474045533123e-05,0.00116474045533123,0.006829002295249017,6.490781718197346e-05
0.0016216216216216215,1.1784473899822905e-05,0.0011784473899822906,0.00686417268265716,6.608744419897276e-05
0.0016316316316316317,1.1922246691861041e-05,0.001192224669186104,0.006899258984691362,6.728086228624614e-05
0.0016416416416416416,1.2060721240917587e-05,0.0012060721240917587,0.006934261299353788,6.848814168974139e-05
0.0016516516516516516,1.2199895858483431e-05,0.001219989585848343,0.0069691797246466064,6.970935248638639e-05
0.0016616616616616617,1.2339768856049466e-05,0.0012339768856049467,0.007004014358571987,7.094456458408904e-05
0.0016716716716716716,1.2480338545106573e-05,0.0012480338545106573,0.007038765299132094,7.219384772173734e-05
0.0016816816816816816,1.2621603237145636e-05,0.0012621603237145636,0.007073432644329097,7.345727146919936e-05
0.0016916916916916917,1.2763561243657551e-05,0.001276356124365755,0.007108016492165165,7.473490522732326e-05
0.0017017017017017016,1.2906210876133194e-05,0.0012906210876133194,0.007142516940642464,7.602681822793717e-05
0.0017117117117117116,1.3049550446063458e-05,0.0013049550446063457,0.0071769340877631625,7.733307953384944e-05
0.0017217217217217217,1.319357826493923e-05,0.001319357826493923,0.007211268031529429,7.865375803884836e-05
0.0017317317317317317,1.3338292644251392e-05,0.0013338292644251393,0.007245518869943429,7.998892246770236e-05
0.0017417417417417418,1.3483691895490836e-05,0.0013483691895490835,0.007279686701007333,8.13386413761599e-05
0.0017517517517517517,1.3629774330148444e-05,0.0013629774330148443,0.007313771622723307,8.270298315094952e-05
0.0017617617617617617,1.3776538259715103e-05,0.0013776538259715103,0.00734777373309352,8.408201600977986e-05
0.0017717717717717718,1.3923981995681706e-05,0.0013923981995681706,0.007381693130120139,8.54758080013396e-05
0.0017817817817817817,1.407210384953913e-05,0.001407210384953913,0.0074155299118053315,8.688442700529746e-05
0.0017917917917917917,1.4220902132778266e-05,0.0014220902132778266,0.007449284176151266,8.83079407323023e-05
0.0018018018018018018,1.4370375156890004e-05,0.0014370375156890003,0.007482956021160111,8.974641672398299e-05
0.0018118118118118118,1.4520521233365226e-05,0.0014520521233365225,0.0075165455448340315,9.119992235294846e-05
0.0018218218218218217,1.4671338673694819e-05,0.0014671338673694818,0.007550052845175198,9.266852482278778e-05
0.0018318318318318318,1.4822825789369675e-05,0.0014822825789369675,0.007583478020185778,9.415229116807004e-05
0.0018418418418418418,1.4974981375549197e-05,0.0014974981375549198,0.007616821160448325,9.565128830275965e-05
0.0018518518518518517,1.5127804283731704e-05,0.0015127804283731705,0.00765008235568114,9.716558302585591e-05
0.0018618618618618619,1.528129287099257e-05,0.001528129287099257,0.007683261703187111,9.869524197190122e-05
0.0018718718718718718,1.543544549431897e-05,0.0015435445494318969,0.00771635930027048,0.00010024033161097219
0.001881881881881882,1.5590260510698108e-05,0.0015590260510698107,0.00774937524423549,0.00010180091824867971
0.0018918918918918919,1.5745736277117158e-05,0.0015745736277117158,0.007782309632386379,0.0001033770680261689
0.0019019019019019018,1.590187115056331e-05,0.001590187115056331,0.007815162562027392,0.00010496884692011919
0.001911911911911912,1.6058663488023763e-05,0.0016058663488023764,0.00784793413046277,0.0001065763207427442
0.0019219219219219219,1.6216111646485692e-05,0.001621611164648569,0.007880624434996751,0.0001081995551417918
