pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_fitness,best_gen_idx
run_2025-08-22_16-11-42,config_3,2,3,0.7,2,5,0.9,100,1,10,0.2,50,3,4,11,11,3,50.86900424344032,99
run_2025-08-22_16-11-42,config_3,3,3,0.7,2,5,0.9,100,1,10,0.2,50,6,12,7,7,13,50.86212156755863,99
run_2025-08-22_16-11-42,config_3,4,3,0.7,2,5,0.9,100,1,10,0.2,50,21,16,21,21,16,38.5189038855434,99
run_2025-08-22_16-11-42,config_3,5,3,0.7,2,5,0.9,100,1,10,0.2,50,31,8,31,31,31,37.35402933294375,99
run_2025-08-22_16-11-42,config_4,1,4,0.6,2,5,0.9,100,1,10,0.2,50,30,20,30,30,21,38.51890388554344,99
run_2025-08-22_16-11-42,config_4,2,4,0.6,2,5,0.9,100,1,10,0.2,50,28,18,28,28,28,37.35402933294375,99
run_2025-08-22_16-11-42,config_4,3,4,0.6,2,5,0.9,100,1,10,0.2,50,3,10,3,3,3,37.35402933294375,99
run_2025-08-22_16-11-42,config_4,4,4,0.6,2,5,0.9,100,1,10,0.2,50,29,15,29,29,29,37.35402933294375,99
run_2025-08-22_16-11-42,config_4,5,4,0.6,2,5,0.9,100,1,10,0.2,50,7,13,7,7,7,37.35402933294375,99
run_2025-08-22_17-50-52,config_1,1,1,0.9,2,5,0.9,100,1,10,0.2,50,15,23,15,15,15,37.35402933294375,99
run_2025-08-22_17-50-52,config_1,2,1,0.9,2,5,0.9,100,1,10,0.2,50,5,21,5,5,22,38.5189038855434,99
run_2025-08-22_17-50-52,config_1,3,1,0.9,2,5,0.9,100,1,10,0.2,50,7,13,7,7,7,37.35402933294375,99
run_2025-08-22_17-50-52,config_1,4,1,0.9,2,5,0.9,100,1,10,0.2,50,28,23,28,28,28,37.35402933294375,99
run_2025-08-22_17-50-52,config_1,5,1,0.9,2,5,0.9,100,1,10,0.2,50,22,4,22,22,24,37.35402933294375,99
run_2025-08-22_17-50-52,config_2,1,2,0.8,2,5,0.9,100,1,10,0.2,50,18,11,18,18,20,37.38888331705508,99
run_2025-08-22_17-50-52,config_2,2,2,0.8,2,5,0.9,100,1,10,0.2,50,27,21,27,27,29,37.35402933294379,99
run_2025-08-22_17-50-52,config_2,3,2,0.8,2,5,0.9,100,1,10,0.2,50,11,20,11,11,13,37.35402933294375,99
run_2025-08-22_17-50-52,config_2,4,2,0.8,2,5,0.9,100,1,10,0.2,50,1,23,1,1,1,37.35402933294375,99
run_2025-08-22_17-50-52,config_2,5,2,0.8,2,5,0.9,100,1,10,0.2,50,30,23,30,30,30,37.35402933294375,99
run_2025-08-22_17-50-52,config_3,1,3,0.7,2,5,0.9,100,1,10,0.2,50,28,20,28,28,28,37.35402933294375,99
run_2025-08-22_17-50-52,config_3,2,3,0.7,2,5,0.9,100,1,10,0.2,50,30,19,30,30,30,37.35402933294375,99
run_2025-08-22_17-50-52,config_3,3,3,0.7,2,5,0.9,100,1,10,0.2,50,22,22,0,0,24,50.86900424344025,99
run_2025-08-22_17-50-52,config_3,4,3,0.7,2,5,0.9,100,1,10,0.2,50,22,8,8,8,10,52.27529744183441,99
run_2025-08-22_17-50-52,config_3,5,3,0.7,2,5,0.9,100,1,10,0.2,50,30,13,30,30,30,37.35402933294375,99
run_2025-08-22_17-50-52,config_4,1,4,0.6,2,5,0.9,100,1,10,0.2,50,8,20,8,8,8,37.35402933294375,99
run_2025-08-22_17-50-52,config_4,2,4,0.6,2,5,0.9,100,1,10,0.2,50,16,23,16,16,18,37.35402933294375,99
run_2025-08-22_17-50-52,config_4,3,4,0.6,2,5,0.9,100,1,10,0.2,50,6,1,6,1,6,49.16487455259984,99
run_2025-08-22_17-50-52,config_4,4,4,0.6,2,5,0.9,100,1,10,0.2,50,17,12,12,17,17,50.18767850421145,99
run_2025-08-22_17-50-52,config_4,5,4,0.6,2,5,0.9,100,1,10,0.2,50,5,13,5,5,5,37.35402933294375,99
run_2025-08-22_19-30-26,config_1,1,1,0.9,2,5,0.9,100,1,10,0.2,50,12,18,12,12,12,37.35402933294375,99
run_2025-08-22_19-30-26,config_1,2,1,0.9,2,5,0.9,100,1,10,0.2,50,10,23,10,10,12,37.35402933294375,99
run_2025-08-22_19-30-26,config_1,3,1,0.9,2,5,0.9,100,1,10,0.2,50,15,22,15,15,17,37.35402933294375,99
run_2025-08-22_19-30-26,config_1,4,1,0.9,2,5,0.9,100,1,10,0.2,50,21,14,21,21,23,37.35402933294375,99
run_2025-08-22_19-30-26,config_1,5,1,0.9,2,5,0.9,100,1,10,0.2,50,29,18,29,29,29,37.35402933294375,99
run_2025-08-22_19-30-26,config_2,1,2,0.8,2,5,0.9,100,1,10,0.2,50,30,5,30,30,30,37.35402933294375,99
run_2025-08-22_19-30-26,config_2,2,2,0.8,2,5,0.9,100,1,10,0.2,50,14,20,14,14,14,37.35402933294375,99
run_2025-08-22_19-30-26,config_2,3,2,0.8,2,5,0.9,100,1,10,0.2,50,24,12,24,24,24,37.35402933294379,99
run_2025-08-22_19-30-26,config_2,4,2,0.8,2,5,0.9,100,1,10,0.2,50,26,12,26,26,28,37.35402933294379,99
