,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_10,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
105,run_2025-08-29_13-27-48,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,14,31,7,14,14,1,31,25,26,1,62.05937180723794,17,function_IEEE_30
106,run_2025-08-29_13-27-48,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,26,27,27,18,26,1,6,11,1,11,80.6920425387038,15,function_IEEE_30
107,run_2025-08-29_13-27-48,config_1,8,1,0.9,2,10,0.5,20,1,10,0.2,50,30,2,9,18,3,7,25,3,2,7,81.80934525964373,11,function_IEEE_30
108,run_2025-08-29_13-27-48,config_1,9,1,0.9,2,10,0.5,20,1,10,0.2,50,2,24,24,6,6,2,18,30,3,8,70.76923618861733,16,function_IEEE_30
109,run_2025-08-29_13-30-50,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,6,30,10,6,6,11,12,17,30,12,79.58882563455383,18,function_IEEE_30
110,run_2025-08-29_13-30-50,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,10,20,17,10,10,16,1,16,9,25,90.6303626928863,10,function_IEEE_30
111,run_2025-08-29_13-30-50,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,4,26,14,13,13,14,26,12,4,5,81.6938423034044,19,function_IEEE_30
112,run_2025-08-29_13-30-50,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,7,15,15,22,0,9,28,7,28,11,80.5730832777789,17,function_IEEE_30
113,run_2025-08-29_13-30-50,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,0,12,12,0,23,7,13,13,7,12,89.80479047587292,8,function_IEEE_30
114,run_2025-08-29_13-30-50,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,2,25,22,11,11,3,2,21,25,21,80.23246595137162,14,function_IEEE_30
115,run_2025-08-29_13-30-50,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,27,21,5,21,14,24,28,26,5,24,82.01234191803778,9,function_IEEE_30
116,run_2025-08-29_13-30-50,config_1,8,1,0.9,2,10,0.5,20,1,10,0.2,50,0,31,0,0,6,5,31,0,31,12,62.3788851875768,16,function_IEEE_30
117,run_2025-08-29_13-30-50,config_1,9,1,0.9,2,10,0.5,20,1,10,0.2,50,6,7,16,4,21,3,1,1,29,3,91.0656006181139,11,function_IEEE_30
118,run_2025-08-29_13-54-29,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,29,29,20,0,0,31,1,0,7,13,81.47216319261737,16,function_IEEE_30
119,run_2025-08-29_13-54-29,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,2,29,13,29,29,4,2,1,30,4,81.55536181276165,18,function_IEEE_30
120,run_2025-08-29_13-54-29,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,15,15,2,16,27,20,2,27,27,16,80.10897673681087,8,function_IEEE_30
121,run_2025-08-29_13-54-29,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,13,28,0,11,13,19,0,17,0,13,65.35592171292812,19,function_IEEE_30
122,run_2025-08-29_13-54-29,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,3,11,27,3,28,3,4,28,4,28,74.94005679061841,16,function_IEEE_30
123,run_2025-08-29_13-54-29,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,27,0,13,20,20,26,13,27,5,26,72.64593956338219,17,function_IEEE_30
124,run_2025-08-29_13-54-29,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,30,25,30,26,6,26,20,26,25,26,70.49185363842115,18,function_IEEE_30
125,run_2025-08-29_13-54-29,config_1,8,1,0.9,2,10,0.5,20,1,10,0.2,50,3,17,17,3,2,18,25,3,3,2,70.5534269836413,14,function_IEEE_30
126,run_2025-08-29_13-54-29,config_1,9,1,0.9,2,10,0.5,20,1,10,0.2,50,11,25,25,11,14,23,3,14,25,27,79.92269374411791,14,function_IEEE_30
127,run_2025-08-29_14-44-12,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,1,16,1,1,1,1,16,10,1,5,62.84529003892763,12,function_IEEE_30
128,run_2025-08-29_14-44-12,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,11,10,6,0,11,25,0,11,0,25,72.34863445397022,17,function_IEEE_30
