Unidades",Estado,Subsistema,Tipo de Usina,Nome do Rio,Nome da Bacia/ Estado,Região de Influência,Despacho da Usina em relação a Potência Instalada,Potência Instalada da Usina em relação ao Nominal da Bacia,Despacho da Usina em relação ao despacho da Bacia,Dados de Linha,Unnamed: 32,Unnamed: 33,Unnamed: 34,Máximo Síncronos Despacháveis,Balanço síncronos,UMX,Síncronos Despachados.1,Mq. Pativa modif + grupo,Mq. Pativa UMX UMN,Mq. Pativa,PInércia,Multiplos Grupos,Sincrono,Max Síncronos,UMN,Pmin,Pmax,Check Pmin,Numeração,Desp min,Sinc min,Nome da Barra do gerador CADASTRO,Qmin,Qmax,Carga Própria UGs (MW),"RPO
sincronizada","Const. Inércia
Equivalente",COD. CEG,COD. PEE,"CVU
(R$/MWh)",Inflexibilidade,Maior Reserva (MW),Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no PWF,,N° Circ,Nome da Barra do GERADOR,,,,,,,,min,,,,,,,,,,,,,,,,,,,,,489.700000000001,Belo Monte,,,,,,,,,,,
1,,,,,,,,MW,%,Mvar,Vterm,MW,%,MW,%,Forçar Nº de Máq,"Despacho
Síncronos",V term,,,,,,,Tipo de Usina,,,,,,,Barra DE,Barra PARA,,,,,,,,,,,,,,,,,,,,,,Qmin,Qmax,,9776.816,352.269093,Qmin,Qmin,Qmax,Qmin,Maior Inécia (MVA.s),,,,,,,,,,,,
148,Canastra 2,9194,21,5,21.25,-5,10.75,8,0.380952380952381,0.5391,0.979,16,0.761904761904762,,0.76,,,,-,-,1,1,RS,S,Fio d´Agua,Rio Santa Maria,Rio Jacuí,,0.380952380952381,0.0154298310066128,0.0,9194,2060,2,CAN-G2UHE001,-,-,1,-,1,1,1,21.25,-,-,-,0,5,21.25,OK,195.0,23.0,,CAN-G2UHE000,-5,10.75,,5.25,0.0,UHE.PH.RS.000635-1.01,,,,,,,,,,,,,,,,
149,14 de Julho,1168,103,15.54,51.8,-24,24,38,0.368932038834951,-24,0.962,79,0.766990291262136,,0.77,,,,-,-,2,2,RS,S,Fio d´Agua,Rio Taquari-Antas,Rio Jacuí,,0.368932038834951,0.0756796473181484,0.0,1153,1168,1,14JUL-UHE001,-,-,2,-,2,2,2,51.8,-,-,-,0,15.54,51.8,OK,193.0,0.0,,14JUL-UHE000,-24,24,,24.6,330.4,UHE.PH.RS.000012-4.01,,,,,,,,,,,,,,,,
150,Passo São João,9218,77,10,38.5,-15,19.4,28,0.363636363636364,-3.5,0.958,60,0.779220779220779,,0.78,,,,-,-,2,2,RS,S,Fio d´Agua,Rio Ijuí,Rio Uruguai,,0.363636363636364,0.013053059840651,0.0,9917,9218,1,PSJOAOUHE001,-,-,2,-,2,2,2,38.5,-,-,-,0,10,38.5,OK,186.0,0.0,,PSJOAOUHE000,-15,19.4,,17,327.536,UHE.PH.RS.029456-0.01,,,,,,,,,,,,,,,,
151,PCS - Karkey 013,45065,80,2.38,20.22,-8.8,12.5,56,0.7,-0.069,0.991,63,0.7875,,0.79,,,,-,-,4,4,RJ,SE-CO,Gás Natural,,Rio de Janeiro,,0.7,0.00730260155180283,0.0,45065,45064,1,KRK13AUTE003,-,-,4,-,4,4,4,20.22,-,-,-,0,2.38,20.22,OK,228.0,,,KRK13AUTE000,-8.8,12.5,,17.88,88.32,,245,533.16,15,,,,,,,,,,,,,
152,Monte Claro,1159,130,20,65,-30,30,47,0.361538461538462,-21.3,0.95,104,0.8,,0.8,,,,-,-,2,2,RS,S,Fio d´Agua,Rio Taquari-Antas,Rio Jacuí,,0.361538461538462,0.0955180014695077,0.0,1161,1159,1,MCLAROUHE001,-,-,2,-,2,2,2,65,-,-,-,0,20,65,OK,192.0,0.0,,MCLAROUHE000,-30,30,,26,368.796,UHE.PH.RS.027968-4.01,,,,,,,,,,,,,,,,
153,Baguari,1496,140,7.73,35.136,-31.2,25.6,112,0.8,-13.2,0.988,113,0.807142857142857,,0.81,,,,-,-,4,4,MG,SE-CO,Fio d´Agua,Rio Doce,Rio Doce,Região Central - MG,0.8,0.113728675873274,0.0,1496,1495,1,BAGUARUHE004,-,-,4,-,4,4,4,35.136,-,-,-,0,7.73,35.136,OK,95.0,,,BAGUARUHE000,-31.2,25.6,,27.544,177.372,UHE.PH.MG.029453-5.01,,,,,,,,,,,,,,,,
154,Bariri- A,515,91,15,45.6,-23,23,73,0.802197802197802,10.99,0.979,75,0.824175824175824,,0.82,,,,-,-,2,2,SP,SE-CO,Fio d´Agua,Rio Tiête,Bacia do Tietê,Pardo - SP,0.802197802197802,0.0503040353786622,0.0,634,515,1,BARIRIUHE002,-,-,2,-,2,2,2,45.6,-,-,-,0,15,45.6,OK,62.0,,,BARIRIUHE000,-23,23,,16.2,438.012,UHE.PH.SP.000203-8.01,,,,,,,,,,,,,,,,
155,Bariri- B,524,45,15,45.6,-23,23,36,0.8,-8.09,0.997,37,0.822222222222222,,0.83,,,,-,-,1,1,SP,SE-CO,Fio d´Agua,Rio Tiête,Bacia do Tietê,Pardo - SP,0.8,0.0248756218905473,0.0,524,634,1,BARIR2UHE001,-,-,1,-,1,1,1,45.6,-,-,-,0,15,45.6,OK,63.0,,,BARIR2UHE000,-23,23,,8.6,0.0,UHE.PH.SP.000203-8.01,,,,,,,,,,,,,,,,
156,Paulo Afonso 4G1,5022,2460,251,410,-230,205,492,0.2,-447,0.957,2066,0.839837398373984,,0.84,,,,0,-,6,6,BA,NE,Fio d´Agua,Rio São Francisco,Rio São Francisco,Sistema de 500kV do Nordeste,0.2,0.232580126689988,0.0,5001,5022,1,PAFO-4UHE002,0,-,6,-,6,6,6,410,-,47231,4,0,251,410,OK,119.0,,,PAFO-4UHE000,-230,205,,394,12202.56,UHE.PH.BA.027050-4.01,,,,,,,,,,,,,,,,
157,Porto Estrela,1594,117,20,58.9,-20,18.6,94,0.803418803418804,18.6,0.982,99,0.846153846153846,,0.85,,,,-,-,2,2,MG,SE-CO,Fio d´Agua,Rio Santo Antônio,Rio Doce,Região Central - MG,0.803418803418804,0.0950446791226645,0.0,1592,1594,1,PESTREUHE002,-,-,2,-,2,2,2,58.9,-,-,-,0,20,58.9,OK,94.0,8.0,,PESTREUHE000,-20,18.6,,18.8,302.56,UHE.PH.MG.027196-9.01,,,,,,,,,,,,,,,,
158,Barra Bonita,516,140,6.5,35.2,-14,14,112,0.8,-3.7,0.97,120,0.857142857142857,,0.86,,,,-,-,4,4,SP,SE-CO,Reservatório,Rio Tiête,Bacia do Tietê,Pardo - SP,0.8,0.0773908236594804,0.0,635,516,1,BBONITUHE004,-,-,4,-,4,4,4,35.2,-,-,-,0,6.5,35.2,OK,61.0,18.0,,BBONITUHE000,-14,14,,20.8,394.4,UHE.PH.SP.000208-9.01,,,,,,,,,,,,,,,,
159,Serra da Mesa,36,1260,240,420,-160,160,393,0.311904761904762,-160,0.956,1096,0.86984126984127,,0.87,,,,0,0,3,3,GO,SE-CO,Reservatório,Rio Tocantins,Rio Tocantins,,0.311904761904762,0.0974628712871287,0.0,235,36,1,S.MESAUHE001,0,0,3,0,3,3,3,420,-,37,3,0,240,420,OK,123.0,284.0,,S.MESAUHE000,-160,160,,164,7095.0,UHE.PH.GO.002731-6.01,,,,,,,,,,,,,,,,
160,St. Antônio do Jari,8269,369,36.5,123.3,-46,59.8,113,0.306233062330623,-46,0.966,325,0.880758807588076,,0.88,,,,-,-,3,3,PA/AP,N,Fio d´Agua,Rio Jari,Bacia do Amazonas,,0.306233062330623,0.0155794806839772,0.0,8268,8269,1,SA.JARUHE001,-,-,3,-,3,3,3,123.3,-,-,-,0,36.5,123.3,OK,139.0,,,SA.JARUHE000,-46,59.8,,44.9,1146.69,UHE.PH.AP.026792-9.01,,,,,,,,,,,,,,,,
161,São Salvador,3968,243,60,121.6,-58.8,58.8,73,0.300411522633745,-23.8,0.95,73,0.300411522633745,,,,,,-,-,1,2,TO,SE-CO,Fio d´Agua,Rio Tocantins,Rio Tocantins,Área GO/BR,0.300411522633745,0.0187964108910891,0.0,3967,3968,1,SSALV-UHE001,-,-,2,-,,1,1,121.6,-,-,-,0,60,121.6,OK,125.0,22.0,,SSALV-UHE000,-58.8,58.8,,48.6,373.95,UHE.PH.TO.028567-6.01,,,,,,,,,,,,,,,,
162,Chavantes,514,414,51,103.5,-50,50,124,0.29951690821256,28.36,0.984,124,0.29951690821256,,,,,,-,-,2,4,SP/PR,SE-CO,Reservatório,Rio Paranapanema,Bacia do Paranapanema,Alto Paranapanema - SP,0.29951690821256,0.151481888035126,0.0,615,514,1,CHAVANUHE002,-,-,4,-,,2,2,103.5,-,-,-,2,51,103.5,OK,50.0,102.0,,CHAVANUHE000,-50,50,,83,1296.97,UHE.PH.SP.000764-1.01,,,,,,,,,,,,,,,,
163,Gov. Parigot de Souza (C. Cachoeira),804,260,15,65,-33,34,77,0.296153846153846,-42.3,0.9,77,0.296153846153846,,,,,,2,0,2,4,PR,S,Reservatório,Rio Capivari,Rio Capivari,,0.296153846153846,1.0,0.0,817,804,1,GPSOUZUHE002,2,2,4,0,,2,2,65,-,805,3,0,15,65,OK,197.0,15.0,3.0,GPSOUZUHE000,-33,34,0.3,53,347.8,UHE.PH.PR.001042-1.01,,,,,,,,,,,,,,,,
164,Salto Pilão,2863,191,22.8,95.94,-44.15,44.15,56,0.293193717277487,-24.6,0.95,56,0.293193717277487,,,,,,-,-,1,2,SC,S,Fio d´Agua,Rio Itajaí,Rio Itajaí,,0.293193717277487,1.0,0.0,2864,2863,1,SPILAOUHE001,-,-,2,-,,1,1,95.94,-,-,-,0,22.8,95.94,OK,196.0,23.0,,SPILAOUHE000,-44.15,44.15,,39.94,282.8,UHE.PH.SC.028564-1.01,,,,,,,,,,,,,,,,
165,Ibitinga,517,131,12,43.8,-18,18,105,0.801526717557252,18,0.959,105,0.801526717557252,,,,,,-,-,3,3,SP,SE-CO,Fio d´Agua,Rio Tiête,Bacia do Tietê,Médio Tietê - SP,0.801526717557252,0.0724156992813709,0.0,645,517,1,IBITINUHE003,-,-,3,-,,3,3,43.8,-,-,-,0,12,43.8,OK,64.0,22.0,,IBITINUHE000,-18,18,,26.4,467.964,UHE.PH.SP.001097-9.01,,,,,,,,,,,,,,,,
166,Rosana,511,354,40,88.5,-27,38,248,0.700564971751412,70.99,1,248,0.700564971751412,,,,,,-,-,3,4,SP/PR,SE-CO,Fio d´Agua,Rio Paranapanema,Bacia do Paranapanema,,0.700564971751412,0.129527991218441,0.0,546,511,1,ROSAN1UHE003,-,-,4,-,,3,3,88.5,-,-,-,0,40,88.5,OK,58.0,80.0,,ROSAN1UHE000,-27,38,,17.5,1026.06,UHE.PH.SP.002555-0.01,,,,,,,,,,,,,,,,
167,Risoleta Neves (Candonga) ,1559,140,12,46.7,-14.3,27.6,112,0.8,0.7509,0.992,112,0.8,,,,,,-,-,3,3,MG,SE-CO,Fio d´Agua,Rio Doce,Rio Doce,Região Central - MG,0.8,0.113728675873274,0.0,1560,1559,1,CANDONUHE003,-,-,3,-,,3,3,46.7,-,-,-,0,12,46.7,OK,90.0,,,CANDONUHE000,-14.3,27.6,,28.1,418.236,UHE.PH.MG.000641-6.01,,,,,,,,,,,,,,,,
168,Ilhas dos Pombos ,257,180,,,,,144,0.8,-3.58,0.954,144,0.8,,,,,,-,-,5,5,RJ/MG,SE-CO,Fio d´Agua,Rio Paraíba do Sul,P. do Sul / R. das Lajes / Piraí,,0.8,0.103926096997691,0.0,258,257,1,I.POMBUHE005,-,-,5,-,,5,4,38.5,257,-,-,0,9.6,38.5,OK,79.0,,,I.POMBUHE000,,,,36,515.078,UHE.PH.RJ.001113-4.01,,,,,,,,,,,,,,,,
169,Barra Grande,1150,690,190,230,-76,76,190,0.27536231884058,-76,0.974,190,0.27536231884058,,,,,,2,2,1,3,SC,S,Reservatório,Rio Pelotas,Rio Uruguai,,0.27536231884058,0.116968977792846,0.0,936,1150,1,BGRANDUHE001,2,0,3,2,,1,1,230,-,1151,3,0,190,230,OK,178.0,0.0,3.0,BGRANDUHE000,-76,76,,40,2510.76,UHE.PH.RS.027556-5.01,,,,,,,,,,,,,,,,
170,Xingó,5061,3162,311,500,-220,173,858,0.27134724857685,-187,0.977,858,0.27134724857685,,,,,,4,2,2,6,AL,NE,Fio d´Agua,Rio São Francisco,Rio São Francisco,Sistema de 500kV do Nordeste,0.27134724857685,0.298950553086887,0.0,5060,5061,1,XINGO-UHE002,4,2,6,2,,2,2,500,-,47215,4,0,311,500,OK,120.0,,,XINGO-UHE000,-220,173,,142,9397.44,UHE.PH.SE.027053-9.01,,,,,,,,,,,,,,,,
171,Ferreira Gomes,8279,252,21,84,-28,41,67,0.265873015873016,7.484,1,67,0.265873015873016,,,,,,-,-,1,3,AP,N,Fio d´Agua,Rio Araguari,Bacia do Amazonas,,0.265873015873016,0.0106396453451552,0.0,8278,8279,1,FGOMESUHE001,-,-,3,-,,1,1,84,-,-,-,0,21,84,OK,143.0,,,FGOMESUHE000,-28,41,,17,272.118,UHE.PH.AP.030385-2.01,,,,,,,,,,,,,,,,
172,Cachoeira Caldeirão,8276,219,23,73,-35.7,35.7,57,0.26027397260274,0.014,0.995,57,0.26027397260274,,,,,,-,-,1,3,AP,N,Fio d´Agua,Rio Araguari,Bacia do Amazonas,,0.26027397260274,0.00924635845471818,0.0,8277,8276,1,CALDEIUHE001,-,-,3,-,,1,1,73,-,-,-,0,23,73,OK,140.0,,,CALDEIUHE000,-35.7,35.7,,16,128.79,UHE.PH.AP.031186-3.01,,,,,,,,,,,,,,,,
173,Retiro Baixo,4068,87,9.34,43.7,-41,30,70,0.804597701149425,-3.39,0.995,70,0.804597701149425,,,,,,-,-,2,2,MG,SE-CO,Reservatório,Rio Paraopeba,Rio São Francisco,Região Norte - MG,0.804597701149425,0.008225394724402,0.0,4069,4068,1,R.BAIXUHE002,-,-,2,-,,2,2,43.7,-,-,-,0,9.34,43.7,OK,103.0,8.0,,R.BAIXUHE000,-41,30,,17.4,291.18,UHE.PH.MG.029457-8.01,,,,,,,,,,,,,,,,
174,Luiz Gonzaga G1 (Itaparica),5051,750,180,230,-120,125,180,0.24,-64.5,0.999,180,0.24,,,,,,-,-,1,3,PE,NE,Reservatório,Rio São Francisco,Rio São Francisco,Sistema de 500kV do Nordeste,0.24,0.0709085752103621,0.0,5050,5051,1,LGONG1UHE001,-,-,3,-,,1,1,230,-,-,-,0,180,230,OK,106.0,,,LGONG1UHE000,-120,125,,50,1054.9,UHE.PH.PE.001174-6.01,,,,,,,,,,,,,,,,
175,Luiz Gonzaga G2 (Itaparica),5054,750,180,230,-120,125,180,0.24,-64.5,0.999,180,0.24,,,,,,-,-,1,3,PE,NE,Reservatório,Rio São Francisco,Rio São Francisco,Sistema de 500kV do Nordeste,0.24,0.0709085752103621,0.0,5050,5054,1,LGONG4UHE001,-,-,3,-,,1,1,230,-,-,-,0,180,230,OK,107.0,,,LGONG4UHE000,-120,125,,50,1112.44,UHE.PH.PE.001174-6.01,,,,,,,,,,,,,,,,
176,Capivara,507,619,80,154.75,-77,77,100,0.161550888529887,-1.1,0.95,100,0.161550888529887,,,,,,-,-,1,4,SP,SE-CO,Reservatório,Rio Paranapanema,Bacia do Paranapanema,Malha de 440kV - SP,0.161550888529887,0.226491035492133,0.0,549,507,1,CAPIVAUHE003,-,-,4,-,,1,1,154.75,-,-,-,0,80,154.75,OK,55.0,182.0,,CAPIVAUHE000,-77,77,,54.75,1000.0,UHE.PH.SP.000657-2.01,,,,,,,,,,,,,,,,
177,Irapé,4064,378,55.5,126.3,-63,47.7,302,0.798941798941799,13.77,0.968,302,0.798941798941799,,,,,,0,0,3,3,MG,SE-CO,Reservatório,Rio Jequitinhonha,Rio Jequitinhonha,Região Norte - MG,0.798941798941799,0.456521739130435,0.0,4065,4064,1,IRAPE-UHE003,0,0,3,0,,3,3,126.3,-,9041,3,0,55.5,126.3,OK,99.0,33.0,,IRAPE-UHE000,-63,47.7,,76.9,1461.6,UHE.PH.MG.001146-0.01,,,,,,,,,,,,,,,,
178,Santa Clara MG,1511,60,10.1,20,-6.6,6.6,48,0.8,-5.58,0.985,48,0.8,,,,,,-,-,3,3,MG/BA,SE-CO,Fio d´Agua,Rio Mucuri,Rio Mucuri,Região Central - MG,0.8,1.0,0.0,1595,1511,1,S.CLARUHE003,-,-,3,-,,3,3,20,-,-,-,0,10.1,20,OK,98.0,5.0,,S.CLARUHE000,-6.6,6.6,,12,126.0,UHE.PH.MG.002699-9.01,,,,,,,,,,,,,,,,
179,Aimorés,4042,330,35,110.2,-70,36.2,264,0.8,7.521,0.95,264,0.8,,,,,,-,-,3,3,MG,SE-CO,Fio d´Agua,Rio Doce,Rio Doce,Região Leste - MG,0.8,0.268074735987002,0.0,4043,4042,1,AIMOREUHE003,-,-,3,-,,3,3,110.2,-,-,-,0,35,110.2,OK,96.0,,,AIMOREUHE000,-70,36.2,,66.6,995.28,UHE.PH.MG.000042-6.01,,,,,,,,,,,,,,,,
180,Nova Avanhandava,518,331,47,110.5,-48,48,265,0.800604229607251,38.14,0.95,265,0.800604229607251,,,,,,-,-,3,3,SP,SE-CO,Fio d´Agua,Rio Tiête,Bacia do Tietê,Médio Tietê - SP,0.800604229607251,0.182974018794914,0.0,652,518,1,N.AVANUHE003,-,-,3,-,,3,3,110.5,-,-,-,0,47,110.5,OK,66.0,42.0,,N.AVANUHE000,-48,48,,66.5,1344.0,UHE.PH.SP.001552-0.01,,,,,,,,,,,,,,,,
181,Guilman Amorim,306,140,21.5,35,-17,17,112,0.8,17,0.951,112,0.8,,,,,,-,-,4,4,MG,SE-CO,Fio d´Agua,Rio Piracicaba,Rio Doce,Região Central - MG,0.8,0.113728675873274,0.0,1529,306,1,GUILMAUHE004,-,-,4,-,,4,4,35,-,-,-,0,21.5,35,OK,91.0,11.0,,GUILMAUHE000,-17,17,,28,569.4,UHE.PH.MG.001079-0.01,,,,,,,,,,,,,,,,
182,Taquaruçu,513,525,40,105,-48,48,263,0.500952380952381,34.32,0.956,263,0.500952380952381,,,,,,-,-,3,5,SP,SE-CO,Fio d´Agua,Rio Paranapanema,Bacia do Paranapanema,Malha de 440kV - SP,0.500952380952381,0.192096597145993,0.0,547,513,1,TAQUARUHE003,-,-,5,-,,3,3,105,-,-,-,0,40,105,OK,56.0,120.0,,TAQUARUHE000,-48,48,,52,1344.0,UHE.PH.SP.002821-5.01,,,,,,,,,,,,,,,,
183,Três Irmãos,520,807,140,161.5,-50,50,565,0.700123915737299,50,0.905,565,0.700123915737299,,,,,,-,-,4,5,SP,SE-CO,Reservatório,Rio Tiête,Bacia do Tietê,Malha de 440kV - SP,0.700123915737299,0.446102819237148,0.0,542,520,1,3IRMAOUHE004,-,-,5,-,,4,4,161.5,-,-,-,0,140,161.5,OK,67.0,65.0,,3IRMAOUHE000,-50,50,,81,2428.28,UHE.PH.SP.002873-8.01,,,,,,,,,,,,,,,,
184,Manso,21,216,28,54,-20,21,151,0.699074074074074,20.37,0.97,151,0.699074074074074,,,,,,-,-,3,4,MT,SE-CO,Reservatório,Rio Manso,Bacia do Paraguai,,0.699074074074074,0.323353293413174,0.0,4592,21,1,MANSO-UHE003,-,-,4,-,,3,3,54,-,-,-,0,28,54,OK,162.0,51.0,,MANSO-UHE000,-20,21,,11,453.6,UHE.PH.MT.001401-0.01,,,,,,,,,,,,,,,,
185,Sobradinho,6294,1050,46,146,-68,97,176,0.167619047619048,-91.1,0.978,176,0.167619047619048,,,,,,4,3,2,6,BA,NE,Reservatório,Rio São Francisco,Rio São Francisco,Sistema de 500kV do Nordeste,0.167619047619048,0.0992720052945069,0.0,6300,6294,1,SOBRADUHE002,4,1,6,3,,2,2,146,-,6295,6,0,46,146,OK,105.0,,,SOBRADUHE000,-68,97,,116,4122.5,UHE.PH.BA.002755-3.01,,,,,,,,,,,,,,,,
186,Promissão,519,264,31,88,-47,47,211,0.799242424242424,20.18,0.95,211,0.799242424242424,,,,,,-,-,3,3,SP,SE-CO,Reservatório,Rio Tiête,Bacia do Tietê,Médio Tietê - SP,0.799242424242424,0.145936981757877,0.0,661,519,1,PROMISUHE003,-,-,3,-,,3,3,88,-,-,-,0,31,88,OK,65.0,35.0,,PROMISUHE000,-47,47,,53,1593.0,UHE.PH.SP.002158-0.01,,,,,,,,,,,,,,,,
187,Iranduba,8580,25,-,-,-,-,4,0.16,0,0.936,4,0.16,,,,,,-,-,-,-,AM,N,Óleo Diesel,,Amazonas,,0.16,0.0190114068441065,0.0,8568,8580,1,IRANDU-AM069,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,349.0,,,IRANDU-AM069,-,-,,-,0.0,,317,-,0,,,,,,,,,,,,,
188,Balbina,8597,250,20,50,-24.19,24.19,22,0.088,0.5263,0.995,22,0.088,,,,,,-,-,1,5,AM,N,Reservatório,Rio Uatumã,Bacia do Amazonas,,0.088,0.0105552037154317,0.0,8501,8597,1,BALBEQUHE001,-,-,5,-,,1,1,50,-,-,-,0,20,50,OK,138.0,,,BALBEQUHE000,-24.19,24.19,,28,181.608,UHE.PH.AM.000190-2.01,,,,,,,,,,,,,,,,
189,Flores,8524,80,-,-,-,-,6,0.075,0,1.01,6,0.075,,,,,,-,-,-,-,AM,N,Óleo Diesel,,Amazonas,,0.075,0.0608365019011407,0.0,8524,8523,1,FLORES-AM069,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,350.0,,,FLORES-AM069,-,-,,-,0.0,,318,-,0,,,,,,,,,,,,,
190,Henry Borden,7453,192,15,64,-32,18,154,0.802083333333333,18,0.949,154,0.802083333333333,,,,,,0,0,3,3,SP,SE-CO,Reservatório,Rio Cubatão,Rio Cubatão,,0.802083333333333,0.221198156682028,0.0,482,7453,1,HBORD3UHE003,0,0,3,0,,3,3,64,-,7463,3,0,15,64,OK,70.0,,,HBORD3UHE000,-32,18,,38,646.215,UHE.PH.SP.001084-7.01,,,,,,,,,,,,,,,,
191,São José,8550,50,-,-,-,-,3,0.06,0,0.998,3,0.06,,,,,,-,-,-,-,AM,N,Óleo Diesel,,Amazonas,,0.06,0.0380228136882129,0.0,8537,8550,1,S.JOSE-AM069,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,351.0,,,S.JOSE-AM069,-,-,,-,0.0,,-,-,-,,,,,,,,,,,,,
192,Henry Borden,7451,70,10,35,-18,17,56,0.8,7.066,0.958,56,0.8,,,,,,0,0,2,2,SP,SE-CO,Reservatório,Rio Cubatão,Rio Cubatão,,0.8,0.0806451612903226,0.0,481,7451,1,HBORD1UHE002,0,0,2,0,,2,2,35,-,7461,2,0,10,35,OK,68.0,19.0,,HBORD1UHE000,-18,17,,14,243.36,UHE.PH.SP.001084-7.01,,,,,,,,,,,,,,,,
193,Henry Borden,7452,124,15,62,-33,18,99,0.798387096774194,7.067,0.95,99,0.798387096774194,,,,,,0,0,2,2,SP,SE-CO,Reservatório,Rio Cubatão,Rio Cubatão,,0.798387096774194,0.142857142857143,0.0,481,7452,1,HBORD2UHE002,0,0,2,0,,2,2,62,-,7462,2,0,15,62,OK,69.0,,,HBORD2UHE000,-33,18,,25,437.45,UHE.PH.SP.001084-7.01,,,,,,,,,,,,,,,,
194,Henry Borden,7458,280,20,70,-34,35,224,0.8,35,0.89,224,0.8,,,,,,0,0,4,4,SP,SE-CO,Reservatório,Rio Cubatão,Rio Cubatão,,0.8,0.32258064516129,0.0,480,7458,1,HBORD8UHE004,0,0,4,0,,4,4,70,-,7468,4,0,20,70,OK,72.0,,,HBORD8UHE000,-34,35,,56,1008.0,UHE.PH.SP.001084-7.01,,,,,,,,,,,,,,,,
195,Henry Borden,7459,140,20,70,-34,35,112,0.8,35,0.956,112,0.8,,,,,,0,0,2,2,SP,SE-CO,Reservatório,Rio Cubatão,Rio Cubatão,,0.8,0.161290322580645,0.0,480,7459,1,HBORD9UHE002,0,0,2,0,,2,2,70,-,7469,2,0,20,70,OK,73.0,,,HBORD9UHE000,-34,35,,28,512.96,UHE.PH.SP.001084-7.01,,,,,,,,,,,,,,,,
196,Henry Borden,7454,62,15,62,-33,18,50,0.806451612903226,-11.5,0.987,50,0.806451612903226,,,,,,0,0,1,1,SP,SE-CO,Reservatório,Rio Cubatão,Rio Cubatão,,0.806451612903226,0.0714285714285714,0.0,7454,41825,1,HBORD4UHE001,0,0,1,0,,1,1,62,-,7464,1,0,15,62,OK,71.0,15.0,,HBORD4UHE000,-33,18,,12,218.725,UHE.PH.SP.001084-7.01,,,,,,,,,,,,,,,,
197,Termocamaçari (Rômulo Almeida - FAFEN),5757,120,-,-,-,-,2,0.0166666666666667,0,0.986,2,0.0166666666666667,,,,,,-,-,-,-,BA,NE,Gás Natural,,Bahia,,0.0166666666666667,0.167130919220056,0.0,5751,5757,9,CMD-BP-BA069,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,316.0,,,CMD-BP-BA069,-,-,,-,0.0,,74,-,0,,,,,,,,,,,,,
198,Estrela,47629,48,,16.2,-5.4,5.4,,-,,,0,-,,,,,,-,-,0,3,GO,SE-CO,Fio d´Agua,Rio Verde,Bacia do Paranaíba,,0.0,0.00564573041637262,0.0,-,-,-,-,-,-,3,-,,0,0,16.2,-,-,-,0,0,16.2,OK,38.0,38.0,,ESTRELUHE000,-5.4,5.4,,0,0.0,UHE.PH.GO.038340-6.01,,,,,,,,,,,,,,,,
199,Rosana (Barra deve ser eliminada dos casos),505,"0,1",-,-,-,-,,-,,,0,-,,,,,,-,-,-,-,SP/PR,SE-CO,Fio d´Agua,Rio Paranapanema,Bacia do Paranapanema,,0.0,3.65898280278083e-05,0.0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,57.0,,,ROSAN2UHE000,-,-,,-,0.0,UHE.PH.SP.002555-0.01,,,,,,,,,,,,,,,,
200,Barra do Braúna,3337,39,-,-,-,-,0,0,0,0.977,0,0,,,,,,-,-,-,-,MG,SE-CO,Fio d´Agua,Rio Pomba,P. do Sul / R. das Lajes / Piraí,,0.0,0.0225173210161663,0.0,3305,3337,1,BRAU--PCH138,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,80.0,,,BRAU--PCH138,-,-,,-,0.0,UHE.PH.MG.000215-1.01,,,,,,,,,,,,,,,,
201,Itapebi,5975,450,90,150,-107,64,0,0,0,0.945,0,0,,,,,,-,-,0,3,BA,NE,Fio d´Agua,Rio Jequitinhonha,Rio Jequitinhonha,Sistema de 230kV do Nordeste,0.0,0.543478260869565,0.0,5970,5975,1,ITAPEBUHE000,-,-,3,-,,0,0,150,-,-,-,0,90,150,OK,100.0,,,ITAPEBUHE000,-107,64,,0,0.0,UHE.PH.BA.001175-4.01,,,,,,,,,,,,,,,,
202,Pedra do Cavalo,5888,162,40,81,-50.4,39.2,0,0,0,0.858,0,0,,,,,,-,-,0,2,BA,NE,Reservatório,Rio Paraguaçu,Rio Paraguaçu,Sistema de 230kV do Nordeste,0.0,1.0,0.0,5882,5888,1,P.CAVAUHE000,-,-,2,-,,0,0,81,-,-,-,0,40,81,OK,101.0,,,P.CAVAUHE000,-50.4,39.2,,0,0.0,UHE.PH.BA.028565-0.01,,,,,,,,,,,,,,,,
203,A.SalesG1,5030,200,51,100,-43,48,0,0,0,0.974,0,0,,,,,,-,-,0,2,BA,NE,Fio d´Agua,Rio São Francisco,Rio São Francisco,Sistema de 230kV do Nordeste,0.0,0.0189089533894299,0.0,5029,5030,1,ASALG1UHE000,-,-,2,-,,0,0,100,-,-,-,0,51,100,OK,108.0,,,ASALG1UHE000,-43,48,,0,0.0,UHE.PH.AL.001510-5.01,,,,,,,,,,,,,,,,
