,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_10,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
374,run_2025-08-31_19-40-43,config_4,4,4,0.9,2,5,0.05,20,1,10,0.2,50,,21,2,27,27,11,,,,,52.51270044949987,10,function_IEEE_14
385,run_2025-08-31_20-10-40,config_2,1,2,0.9,2,5,0.8,20,1,10,0.2,50,,15,9,26,26,22,,,,,52.51270044949987,13,function_IEEE_14
197,run_2025-08-31_15-58-02,config_2,6,2,0.9,2,5,0.8,20,1,10,0.2,50,,8,31,2,2,21,,,,,52.51270044949989,2,function_IEEE_14
376,run_2025-08-31_19-40-43,config_4,6,4,0.9,2,5,0.05,20,1,10,0.2,50,,0,0,25,25,14,,,,,52.51270044949996,12,function_IEEE_14
236,run_2025-08-31_16-04-07,config_4,6,4,0.9,2,5,0.05,20,1,10,0.2,50,,20,3,27,27,22,,,,,52.51270044950001,19,function_IEEE_14
209,run_2025-08-31_15-58-02,config_4,4,4,0.9,2,5,0.05,20,1,10,0.2,50,,15,31,25,25,17,,,,,52.51270044950005,17,function_IEEE_14
340,run_2025-08-31_19-10-42,config_3,5,3,0.9,2,5,0.1,20,1,10,0.2,50,,1,2,27,27,10,,,,,52.66540773051619,15,function_IEEE_14
226,run_2025-08-31_16-04-07,config_3,3,3,0.9,2,5,0.1,20,1,10,0.2,50,,1,7,25,25,17,,,,,52.6654077305162,1,function_IEEE_14
225,run_2025-08-31_16-04-07,config_3,2,3,0.9,2,5,0.1,20,1,10,0.2,50,,13,31,19,13,25,,,,,52.71767037748878,13,function_IEEE_14
315,run_2025-08-31_18-40-45,config_4,1,4,0.9,2,5,0.05,20,1,10,0.2,50,,17,0,28,28,1,,,,,52.86127472980633,12,function_IEEE_14
338,run_2025-08-31_19-10-42,config_3,3,3,0.9,2,5,0.1,20,1,10,0.2,50,,18,6,24,24,7,,,,,52.86127472980633,19,function_IEEE_14
314,run_2025-08-31_18-40-45,config_3,7,3,0.9,2,5,0.1,20,1,10,0.2,50,,24,25,24,30,6,,,,,52.89627227481672,10,function_IEEE_14
313,run_2025-08-31_18-40-45,config_3,6,3,0.9,2,5,0.1,20,1,10,0.2,50,,15,0,26,26,0,,,,,52.97724748938486,16,function_IEEE_14
200,run_2025-08-31_15-58-02,config_3,2,3,0.9,2,5,0.1,20,1,10,0.2,50,,10,12,10,3,12,,,,,53.08322460474876,15,function_IEEE_14
349,run_2025-08-31_19-10-42,config_4,7,4,0.9,2,5,0.05,20,1,10,0.2,50,,5,15,14,5,23,,,,,53.16954123928946,14,function_IEEE_14
289,run_2025-08-31_17-05-38,config_4,3,4,0.9,2,5,0.05,20,1,10,0.2,50,,13,8,13,28,30,,,,,53.20440398238348,13,function_IEEE_14
309,run_2025-08-31_18-40-45,config_3,2,3,0.9,2,5,0.1,20,1,10,0.2,50,,13,2,13,25,25,,,,,53.20440398238348,15,function_IEEE_14
