2025-08-17 04:57:47,820 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:57,272 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:57,648 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-sans/SourceSans3-LightIt.otf', name='Source Sans 3', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/Adwaita/AdwaitaMono-Bold.ttf', name='Adwaita Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoSansNerdFont-Medium.ttf', name='Noto Sans Nerd Font', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-sans/SourceSans3VF-Italic.otf', name='SourceSans3VF', style='italic', variant='normal', weight=200, stretch='normal', size='scalable')) = 11.24
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/URWBookman-LightItalic.otf', name='URW Bookman', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto-nerd/NotoSerifNerdFont-MediumItalic.ttf', name='Noto Serif Nerd Font', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerif-MediumItalic.ttf', name='Noto Serif', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/RobotoSlab-ExtraLight.ttf', name='Roboto Slab', style='normal', variant='normal', weight=200, stretch='normal', size='scalable')) = 10.24
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Lato-HairlineItalic.ttf', name='Lato', style='italic', variant='normal', weight=250, stretch='normal', size='scalable')) = 11.1925
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Lato-BoldItalic.ttf', name='Lato', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
